OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,FireplacesTotal,AssociationFeeFrequency,AboveGradeFinishedArea,ListingKeyNumeric,MLSAreaMajor,TaxAnnualAmount,CountyOrParish,PropertyType,MlsStatus,ElementarySchool,ListAgentFirstName,AttachedGarageYN,ParkingTotal,BuilderName,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,DaysOnMarket,StreetNumberNumeric,LivingArea,ListingId,BathroomsTotalInteger,City,TaxYear,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,Longitude,ElementarySchoolDistrict,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,BelowGradeFinishedArea,BusinessType,Latitude,ListPrice,StateOrProvince,CoveredSpaces,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,ListAgentLastName,CloseDate,LotSizeDimensions,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,BuyerOfficeName,AssociationFee,LotSizeSquareFeet,MiddleOrJuniorSchoolDistrict,UnparsedAddress
849000.0,1156786199,,,Mike,Stine,33.354725,-117.149782,35647 Garrano Lane,Residential,2285.0,849000.0,0,eXp Realty of Southern CA,,,Mike Stine,,,,,,,Monthly,,1156786199,92028 - Fallbrook,,San Diego,Residential,ComingSoon,,Mike,True,6.0,,SingleFamilyResidence,0.17,,,2018,0,35647,2285.0,NDP2603222,3,Fallbrook,,,3,2026-04-10,-117.149782,,,,2026-02-28,,,33.354725,849000.0,CA,,,False,2,,Two,Stine,,,0.17,2,,2.0,Fallbrook Union,92028,,208.0,7405.2,,35647 Garrano Lane
1870000.0,1156784075,,,Marcel,Hensley,33.532988,-117.198587,25824 Long Acres,Residential,4259.0,1870000.0,0,KW Temecula,,,Marcel Hensley,,,,,,,Monthly,,1156784075,SRCAR - Southwest Riverside County,,Riverside,Residential,Pending,,Marcel,True,3.0,,SingleFamilyResidence,2.11,,,2005,0,25824,4259.0,SW26070221,5,Murrieta,,,5,2026-04-03,-117.198587,,,2026-04-03,2026-02-20,,,33.532988,1870000.0,CA,,,True,2,,Two,Hensley,,,91912.0,1,False,3.0,Murrieta,92562,,265.0,91912.0,,25824 Long Acres
2950000.0,1156782007,,,Troy,Gray,35.28382,-120.707809,35 Blarney,ResidentialIncome,,2950000.0,0,Kestly Realty Group Inc.,,Kestly Realty Group Inc.,Troy Gray,Jeannie,Pleasant,,,,,,,1156782007,SLO - San Luis Obispo,,San Luis Obispo,ResidentialIncome,Active,,Troy,,0.0,,MixedUse,4.78,San Luis Obispo(380),,1930,0,35,,SC26048875,,San Luis Obispo,2025,5398.0,,2026-02-12,-120.707809,,,,2026-02-12,,,35.28382,2950000.0,CA,,,,1,,One,Gray,,200x1028,208217.0,,False,0.0,,93405,,,208217.0,,35 Blarney
1259000.0,1156781511,,,Louis,Pisano,32.755264,-116.908575,2134 Ricard Court,Residential,2248.0,1259000.0,0,Real Broker,,,Louis Pisano,,,,,,,,,1156781511,92019 - El Cajon,,San Diego,Residential,ComingSoon,,Louis,True,3.0,,SingleFamilyResidence,0.23,,,1985,0,2134,2248.0,PTP2602497,3,El Cajon,,,3,2026-04-11,-116.908575,,,,2026-02-28,,,32.755264,1259000.0,CA,,,True,2,,Two,Pisano,,,0.23,0,,3.0,Grossmont Union,92019,,0.0,10018.8,,2134 Ricard Court
99900.0,1156780992,,,Celene,Avellaneda Beltran,33.763523,-116.912534,24600 Mountain Avenue 19,ManufacturedInPark,1344.0,99900.0,0,Real Brokerage Technologies,,,Celene Avellaneda Beltran,,,,,,,,,1156780992,SRCAR - Southwest Riverside County,,Riverside,ManufacturedInPark,Active,,Celene,False,4.0,,,,,,1985,0,24600,1344.0,SW26072082,2,Hemet,,,3,2026-02-10,-116.912534,,,,2026-02-10,,,33.763523,99900.0,CA,,,,1,,One,Avellaneda Beltran,,,,,,4.0,Hemet Unified,92544,,,,,24600 Mountain Avenue 19
620000.0,1156780322,,,Kirra,Moore,39.732055,-121.570419,5219 Falcon View,Residential,1890.0,620000.0,34,Flat Rate Realty,,,Kirra Moore,,,,,,,,,1156780322,PARA - Paradise,,Butte,Residential,ComingSoon,,Kirra,True,2.0,,SingleFamilyResidence,0.58,,,2026,34,5219,1890.0,PA26042234,2,Paradise,,,3,2026-02-28,-121.570419,,,,2026-02-25,,,39.732055,620000.0,CA,,,True,1,,One,Moore,,,0.58,3,True,2.0,Paradise Unified,95969,,0.0,25264.8,,5219 Falcon View
1699000.0,1156779472,,,Tan,Doan,32.86159541,-117.01095636,,Residential,3248.0,1699000.0,0,Compass,,Compass,Tan Doan,George,Bukes,,,,,Monthly,,1156779472,92071 - Santee,,San Diego,Residential,ComingSoon,,Tan,True,5.0,,SingleFamilyResidence,,Santee,,2019,0,,3248.0,260007864SD,5,Santee,,,4,,-117.01095636,,,,2026-02-03,,,32.86159541,1699000.0,CA,,,False,2,,Two,Doan,,,,,False,3.0,,92071,,230.0,,,
11950000.0,1156779471,,,Trey,A Ballard,33.419981,-117.619429,614 Avenida Victoria,ResidentialIncome,,11950000.0,0,eXp Realty of Greater Los Angeles,,eXp Realty of Greater Los Angeles,Trey A Ballard,Brent,Ballard,,,,,,,1156779471,SW - San Clemente Southwest,,Orange,ResidentialIncome,Active,,Trey,,2.0,,,0.15,Other,,2015,0,614,,P1-26546,0,San Clemente,,,,2026-02-19,-117.619429,,,,2026-02-19,,,33.419981,11950000.0,CA,,,True,,,ThreeOrMore,A Ballard,,,6534.0,,,2.0,,92672,,0.0,6534.0,,614 Avenida Victoria
1350000.0,1156778450,,,Pilar,Salazar,32.647374,-117.019328,512 Bayona Loop,Residential,2381.0,1350000.0,0,Master Property Realty,,Master Property Realty,Pilar Salazar,Luis,Salazar,,,,,,,1156778450,91910 - Chula Vista,,San Diego,Residential,Active,,Pilar,True,6.0,,SingleFamilyResidence,0.1396,,,1998,0,512,2381.0,PTP2602494,3,Chula Vista,,,5,2026-02-23,-117.019328,,,,2026-02-23,,,32.647374,1350000.0,CA,,,True,2,,Two,Salazar,,,6079.0,1,False,3.0,Sweetwater Union,91910,,0.0,6079.0,,512 Bayona Loop
1425000.0,1156776105,,,Dean,O'Dell,33.771337,-117.880231,1107 W Sharon Road,Residential,2279.0,1425000.0,0,Seven Gables Real Estate,,,Dean O'Dell,,,,,,,,,1156776105,70 - Santa Ana North of First,,Orange,Residential,Active,,Dean,True,2.0,,SingleFamilyResidence,0.2376,Fisher Park,,1955,0,1107,2279.0,PW26065584,3,Santa Ana,,,3,2026-02-20,-117.880231,,,,2026-02-20,,,33.771337,1425000.0,CA,,,True,1,Santa Ana,One,O'Dell,,,10350.0,3,False,2.0,Santa Ana Unified,92706,,0.0,10350.0,,1107 W Sharon Road
